
| Код вида оплаты | Наименование вида оплаты | код дохода для НДФЛ |
|---|---|---|
| 002 | Сдельная оплата труда | 2000 |
| 003 | Заработная плата, начисленная работникам по тарифным ставкам | 2000 |
| 004 | Повременная оплата труда | 2000 |
| 005 | Доплата за условия труда работникам, занятым на работах с вредными и (или) опасными условиями труда | 2000 |
| 012 | Оплата за работу в выходные и нерабочие праздничные дни в двойном размере в период пребывания в командировке в зоне СВО (приграничной зоне СВО) | 2000 |
| 013 | Оплата за работу в выходные и нерабочие праздничные дни в одинарном размере с предоставлением другого дня отдыха в период пребывания в командировке в зоне СВО (приграничной зоне СВО) | 2000 |
| 014 | Оплата за работу в сверхурочное время в период пребывания в командировке в зоне СВО (приграничной зоне СВО) | 2000 |
| 015 | Оплата за работу в сверхурочное время в условиях действия специальных мер в сфере экономики в соответствии с постановлением Правительства РФ от 01.08.2022г. №1365 | 2000 |
| 019 | Доплата за работу в вечернюю смену при многосменном режиме работы | 2000 |
| 020 | Доплата за работу в ночное время, в ночную смену | 2000 |
| 021 | Оплата за работу в выходные и нерабочие праздничные дни в двойном размере в условиях действия специальных мер в сфере экономики в соответствии с постановлением Правительства РФ от 01.08.2022г. №1365 | 2000 |
| 022 | Оплата за работу в выходные и нерабочие праздничные дни в двойном размере | 2000 |
| 023 | Оплата за работу в выходные и нерабочие праздничные дни в одинарном размере | 2000 |
| 024 | Доплата до среднего заработка в случаях, предусмотренных трудовым договором работника | 4800 |
| 025 | Оплата за работу в сверхурочное время | 2000 |
| 026 | Денежная компенсация за неиспользованный отпуск, превышающий 28 календарных дней | 2013 |
| 027 | Оплата ежегодных основных и дополнительных отпусков, предусмотренных законодательством РФ | 2012 |
| 028 | Денежная компенсация за неиспользованный отпуск | 2013 |
| 029 | Оплата дополнительного отпуска, предоставляемого согласно п. 5.6 Коллективного договора | 2012 |
| 030 | Оплата за работу в праздничные дни для непрерывных производств | 2000 |
| 031 | Ежемесячная процентная надбавка к должностному окладу (тарифной ставке) за работу с шифрами, применяемыми в сетях шифровальной связи | 2000 |
| 032 | Перерывы для кормления ребенка в возрасте до 1,5 лет, оплачиваемые по среднему заработку (ст.258 ТК РФ) | 2000 |
| 033 | Доплата до полного рабочего дня одному из родителей в соответствии с п.3.11 Коллективного договора | 4800 |
| 034 | Оплата по среднему заработку беременным женщинам при переводе на легкую работу | 2000 |
| 035 | Оплата дней сдачи крови и ее компонентов работникам - донорам и предоставленных в связи с этим дней отдыха | 4800 |
| 036 | Оплата дней работникам, привлекаемым к выполнению государственных обязанностей | 4800 |
| 038 | Ежемесячная премия служащим | 2002 |
| 040 | Надбавка на период командировки в государства со сложной общественно- политической обстановкой в соответствии с перечнем, утвержденным Постановлением Правительства РФ от 03.03.2011г. № 438 | 2000 |
| 041 | Вознаграждения (надбавки, премии) за выполнение особо важных работ (этапов работ), носящие единовременный или периодический характер, по приказам и служебным запискам в зависимости от продолжительности выполнения работы (этапа): | 2002 |
| 041 | 1 месяц | 2002 |
| 122 - 132 | 2 - 12 месяцев | 2002 |
| 042 | Оплата за подготовку кадров (тех.учеба) | 2000 |
| 043 | Персональная надбавка за высокую квалификацию | 2000 |
| 044 | Оплата труда при сокращенной продолжительности работы работников в возрасте до восемнадцати лет | 2000 |
| 045 | Надбавка за ученую степень | 2000 |
| 046 | Надбавка по положению наставникам молодых специалистов и др. | 2000 |
| 047 | Оплата за работу по договорам гражданско - правового характера лицам, не состоящим в трудовых отношениях с АО"НПК"КБМ"(**оплата**) | 2010 |
| 049 | Оплата за работу по договорам гражданско - правового характера работникам АО"НПК"КБМ" | 2010 |
| 050 | Оплата льготных дней по учебе (ст.173.1. ТК) | 2000 |
| 051 | Оплата по среднему заработку дополнительных выходных дней, предоставляемых согласно п.5.6 Коллективного договора | 4800 |
| 052 | Оплата нерабочих дней работникам предприятия, находящимся в режиме самоизоляции, на период распространения коронавирусной инфекции COVID-19 | 4800 |
| 054 | Оплата по среднему заработку дней прохождения диспансеризации (ст. 185.1 ТК РФ), времени прохождения медицинских осмотров и обязательных психиатрических освидетельствований (ст.212 ТК РФ) | 2000 |
